Id,Ax,Ay,Yaw_rate,Vx,Steer,Slip_FL,Slip_FR,Slip_RL,Slip_RR,Beta
0,0,0,0,0,0,0,0,0,0,0
1,-0.216631208,8.97E-18,1.54E-19,95.39615529,-9.27E-18,1.73E-05,1.73E-05,-0.000229202,-0.000229202,-1.19E-20
2,-0.216631208,8.97E-18,1.54E-19,95.39615529,-9.27E-18,1.73E-05,1.73E-05,-0.000229202,-0.000229202,-1.19E-20
3,0.242775749,-8.78E-17,-2.30E-16,95.39821568,6.42E-16,0.002904018,0.002904018,-0.000287974,-0.000287974,-8.92E-19
4,0.242775749,-8.78E-17,-2.30E-16,95.39821568,6.42E-16,0.002904018,0.002904018,-0.000287974,-0.000287974,-8.92E-19
5,0.485002636,9.97E-16,6.60E-15,95.45169537,-1.85E-14,0.004520797,0.004520797,-0.000316138,-0.000316138,-2.76E-17
6,0.485002636,9.97E-16,6.60E-15,95.45169537,-1.85E-14,0.004520797,0.004520797,-0.000316138,-0.000316138,-2.76E-17
7,0.664270464,-5.06E-16,4.05E-15,95.53522081,-1.92E-14,0.005751251,0.005751251,-0.000337821,-0.000337821,-2.63E-16
8,0.664270464,-5.06E-16,4.05E-15,95.53522081,-1.92E-14,0.005751251,0.005751251,-0.000337821,-0.000337821,-2.63E-16
9,0.796065048,6.05E-18,1.21E-16,95.64086701,-1.32E-14,0.006641294,0.006641294,-0.000356841,-0.000356841,-3.75E-16
10,0.796065048,6.05E-18,1.21E-16,95.64086701,-1.32E-14,0.006641294,0.006641294,-0.000356841,-0.000356841,-3.75E-16
11,0.89729223,-8.23E-16,-4.18E-15,95.76317056,-1.93E-15,0.007310527,0.007310527,-0.000372067,-0.000372067,-3.42E-16
12,0.89729223,-8.23E-16,-4.18E-15,95.76317056,-1.93E-15,0.007310527,0.007310527,-0.000372067,-0.000372067,-3.42E-16
13,0.982649354,-1.95E-16,-4.61E-15,95.89872331,4.34E-15,0.007878566,0.007878566,-0.000383915,-0.000383915,-1.83E-16
14,0.982649354,-1.95E-16,-4.61E-15,95.89872331,4.34E-15,0.007878566,0.007878566,-0.000383915,-0.000383915,-1.83E-16
15,1.060814414,-6.04E-16,-5.41E-15,96.04602369,1.12E-14,0.008409619,0.008409619,-0.000394276,-0.000394276,-2.59E-17
16,1.060814414,-6.04E-16,-5.41E-15,96.04602369,1.12E-14,0.008409619,0.008409619,-0.000394276,-0.000394276,-2.59E-17
17,1.406423941,3.87E-16,-6.22E-15,96.22121626,1.89E-14,0.010716283,0.010716283,-0.000435844,-0.000435844,1.16E-16
18,1.406423941,3.87E-16,-6.22E-15,96.22121626,1.89E-14,0.010716283,0.010716283,-0.000435844,-0.000435844,1.16E-16
19,1.73169131,3.44E-16,-1.70E-15,96.44890542,1.52E-14,0.012990219,0.012990219,-0.000474933,-0.000474933,3.42E-16
20,1.73169131,3.44E-16,-1.70E-15,96.44890542,1.52E-14,0.012990219,0.012990219,-0.000474933,-0.000474933,3.42E-16
21,1.904692437,-1.23E-15,-1.29E-15,96.71280199,1.42E-14,0.014321465,0.014321465,-0.000492653,-0.000492653,3.30E-16
22,1.904692437,-1.23E-15,-1.29E-15,96.71280199,1.42E-14,0.014321465,0.014321465,-0.000492653,-0.000492653,3.30E-16
